,0,1,2,3,4
0,0.5,0.6,0.7,1.0,1.0
1,0.75,0.0,0.0,0.0,1.0
2,0.5,1.0,0.9,0.9,1.0
3,0.5,0.7,0.6,0.3,1.0
4,0.75,0.8,0.78,0.89,1.0
5,0.5,0.6,0.5,1.0,1.0
6,0.5,0.8,0.73,0.8,1.0
7,0.5,0.1,0.32,0.2,1.0
8,0.75,0.0,0.07,0.1,0.0
9,0.5,0.7,0.7,1.0,1.0
10,0.5,0.0,0.11,0.0,1.0
11,0.5,0.71,0.7,0.66,1.0
12,0.5,0.77,0.91,1.0,1.0
13,0.5,0.3,0.6,0.2,1.0
14,0.5,0.12,0.7,0.1,1.0
15,0.5,0.28,0.67,0.92,1.0
16,0.5,0.5,0.4,0.7,1.0
17,0.5,0.89,0.7,0.95,1.0
18,0.5,1.0,1.0,1.0,1.0
19,0.5,0.34,0.82,0.5,1.0
20,0.5,0.9,1.0,1.0,1.0
21,0.5,0.74,0.76,0.85,1.0
22,0.75,0.0,0.12,0.2,0.0
23,1.0,0.0,0.35,0.5,0.0
24,-0.5,-0.88,-0.6,-0.92,-1.0
25,0.5,0.1,0.1,0.8,1.0
26,0.75,0.7,0.78,0.88,1.0
27,0.5,0.93,0.91,0.88,1.0
28,0.5,0.0,0.22,0.0,1.0
29,0.5,0.33,0.96,0.3,1.0
30,0.5,1.0,1.0,0.99,1.0
31,0.5,1.0,1.0,0.9,1.0
32,0.5,0.77,0.84,0.85,1.0
33,0.5,0.02,0.21,0.0,1.0
34,0.5,0.0,0.35,0.0,1.0
35,0.75,0.1,0.1,0.6,0.0
36,0.5,0.2,0.7,0.1,1.0
37,0.5,0.42,0.75,0.9,1.0
38,1.0,0.0,0.0,0.3,0.0
39,1.0,0.0,0.12,0.1,0.0
40,0.5,0.88,0.78,0.69,1.0
